Route,Stops (via)
MBS-9,BEL Circle -> BEL Hospital -> Basavanagudi Police Station -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Central Rajiv Gandhi Circle -> Chamundeshwari Layout Vidyaranyapura -> Corporation -> Dayananda Sagar College -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> KR Circle -> Kadirenahalli Cross -> Kempegowda Bus Station -> Kumaraswamy Layout -> Lakshmi Venkateshwara Temple -> Lalbagh West Gate -> Link Road Central -> MM Industries -> MS Ramaiah Hospital -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Monotype Corporation -> Nagaland Circle -> Shastri Bakery -> Tata Institute -> Tata Silk Farm -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
VNH-VRP,Ananda Rao Circle -> BEL Circle -> BEL Hospital -> Canara Bank Vidyaranyapura -> Dodda Bommasandra -> Kempegowda Bus Station -> MS Ramaiah College -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mattikere -> Nagaland Circle -> Tata Institute -> Vidyaranyapura Bus Station
276-E,Ananda Rao Circle -> BEL Circle -> BEL Hospital -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Corporation -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> ITI Layout New BEL Road -> KR Market -> Kempegowda Bus Station -> Lakshmi Venkateshwara Temple -> MS Ramaiah Hospital -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> Nagaland Circle -> Tata Institute -> Town Hall -> Vidyaranyapura Bus Station
276-G,Ananda Rao Circle -> BEL Circle -> BEL Hospital -> Bommanahalli -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Corporation -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> Electronic City 1st phase -> Electronic City Wipro Gate -> Hosa Road -> Infosys Parking Lot Electronic City -> Jn of Hosur Road -> KH Road -> KR Circle -> Konappana Agrahara -> Koramangala Krupanidhi College -> Koramangala Kudure Mukha Colony -> Kudlu Gate -> Lakkasandra -> Lakshmi Venkateshwara Temple -> Link Road Central -> MS Ramaiah Hospital -> Madivala -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Nagaland Circle -> Nimhans Hospital -> PESIT College -> Shanthinagara TTMC -> Singasandra -> St Johns Hospital -> Subbaiah Circle -> Swastik Sheshadripuram College -> Tata Institute -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Wilson Garden 10th Cross -> Wilson Garden Police Station -> Wipro Gate Shikaripalya Cross
269-B,BEL Circle -> BEL Market -> Canara Bank Vidyaranyapura -> Kempegowda Bus Station -> Lakshmi Venkateshwara Temple -> MS Ramaiah College -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mattikere -> Patel Pillegowda Layout -> Ramachandrapura -> State Bank BEL Circle -> Tata Institute -> Vidyaranyapura Bus Station
CS-VRP- SNBS,Shanthinagara TTMC -> Vidyaranyapura Bus Station
SNBS-VRP,BEL Circle -> BEL Hospital -> Canara Bank Vidyaranyapura -> Dodda Bommasandra -> MS Ramaiah College -> Mattikere -> Nagaland Circle -> Shanthinagara TTMC -> Vidyaranyapura Bus Station
BELF-VRP,BEL Factory -> BEL Hospital -> Canara Bank Vidyaranyapura -> Dodda Bommasandra -> Nagaland Circle -> Vidyaranyapura Bus Station
VRP-HBLB-BTP,B Channasandra Bridge -> BEL Circle -> BEL Hospital -> Babusabpalya -> Bagmane Tech Park -> Bayyappanahalli Metro Station -> Benniganahalli -> Bhadrappa Layout -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Dodda Bommasandra -> GTRE Engine Division -> Hebbala Bridge -> Kalyananagara -> Lakshmi Venkateshwara Temple -> Manyata Embassy Business Park -> NGEF -> Nagaland Circle -> Veerannapalya Hebbala -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
323-H,Ananda Rao Circle -> BEL Circle -> BEL Hospital -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Chikka Nekkundi -> Commando Hospital -> Corporation -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> Domlur Flyover -> HAL Main Gate -> Hosmat Hospital -> ITI Layout New BEL Road -> KR Market -> Kempegowda Bus Station -> Kodihalli -> Konena Agrahara -> Kundalahalli Gate -> MS Ramaiah Hospital -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Marathahalli -> Marathahalli Bridge -> Mayohall -> Murugeshpalya -> Nagaland Circle -> Nakkundi Dommasandra -> Richmond Circle -> St Joseph Boys High School -> Tata Institute -> Thubarahalli -> Town Hall -> Vagdevi Vilas School -> Varthur Kodi -> Vidyaranyapura Bus Station -> Yamalur Cross
401-K BMT45-KGR,Anubhavanagara Moodalapalya -> BEL Circle -> BEL Hospital -> Bengaluru University Quarters -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Divanarapalya Mattikere -> Dodda Bommasandra -> Gokula Mattikere -> Govindarajanagara Vijayanagara -> Govt Soap Factory -> Iskcon Temple -> Jn of Kommaghatta Kengeri -> Jnana Jyothinagara Kenchanapura Cross -> Kalyananagara -> Kenchanapura Cross -> Kengeri Church -> Kengeri Ganesha Temple -> Kengeri Satellite Town -> Kengeri TTMC -> Kengunte Circle -> Lakshmi Venkateshwara Temple -> MS Ramaiah College -> Mahalakshmi Layout Entrance -> Mallathahalli Cross -> Manjunatha Nagara WOC Road -> Mariyappanapalya -> Mattikere -> Moodalapalya -> Nagadevanahalli -> Nagaland Circle -> Nagarabhavi -> Nagarabhavi 12th Block -> Nagarabhavi Byraveshwara Layout -> Nagarabhavi Maruthinagara -> Nagarabhavi Vinayaka layout -> PVP School Mariyappanapalya -> Prashanthnagara -> Priyadarshini Layout Moodalapalya -> Rajajinagara Dhobi Ghat -> Rajajinagara ESI Hospital -> Rajajinagara Industrial Area -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Vijayanagara -> Vijayanagara Vijaya Bank -> Yeshwanthapura Ayyappa Temple -> Yeshwanthpura Tollgate
401-B RPCLO-VRP,BEL Circle -> BEL Hospital -> Dodda Bommasandra -> Govardhan Talkies -> Govt Soap Factory -> Hampinagara RPC Layout -> MS Ramaiah College -> Mahalakshmi Layout Entrance -> Manuvana Vijayanagara -> Mattikere -> Nagaland Circle -> Navarang Theatre -> Vidyaranyapura Bus Station -> Vijayanagara -> Vijayanagara Maruthi Mandira -> Vijayanagara TTMC -> Yeshwanthapura
500-DE VRP-KLNB,BEL Circle -> BEL Hospital -> Bhadrappa Layout -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Dodda Bommasandra -> Hebbala Bridge -> Kalyananagara Bus Stand -> Lakshmi Venkateshwara Temple -> Manyata Embassy Business Park -> Nagaland Circle -> Veerannapalya Hebbala -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
V-VRP-CPR,Adugodi -> Anepalya -> BEL Circle -> BEL Hospital -> BTL COLLEGE -> Bommanahalli -> Bommasandra -> CPRI -> CSI Hospital -> Canara Bank Vidyaranyapura -> Cantonment Railway Station -> Chamundeshwari Layout Vidyaranyapura -> Chandapura -> Chandapura Circle -> Divanarapalya Mattikere -> Dodda Bommasandra -> Electronic City -> Elgin Floor Mill -> Gokula Mattikere -> Hebbagodi -> Hennagara Gate -> Hosa Road -> Huskur Gate -> Indian Express -> Jayamahal -> Jn of Hosur Road -> Johnson Market -> Konappana Agrahara -> Koramangala Krupanidhi College -> Koramangala Kudure Mukha Colony -> Kudlu Gate -> Lakshmi Venkateshwara Temple -> Life Style D Souza Circle -> MS Ramaiah College -> Madivala -> Maniksha Parade Ground -> Manipal Centre MG Road -> Mattikere -> Mayohall -> Mekhri Circle -> Nagaland Circle -> Singasandra -> St Johns Hospital -> TV Tower -> Veerasandra -> Vidyaranyapura 1st Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Yeshwanthapura Ayyappa Temple -> Yeshwanthpura Tollgate
CS-VRP-BMTC,BEL Circle -> BMTC Old Central Office -> Corporation -> Maharanis College -> Vidyaranyapura Bus Station
V-CSB-VRP,B Narayanapura Ring Road -> BEL Circle -> BEL Hospital -> Babusabpalya -> Bellanduru -> Bhadrappa Layout -> Canara Bank Vidyaranyapura -> Central Silk Board -> Devinagara Bhadrappa Layout -> Dodda Bommasandra -> Dodda Nekkundi -> EMC2 -> HBR Layout Ring Road -> Hebbala Bridge -> Kadabisanahalli -> Kalyananagara -> Kasthurinagara -> Kempapura Hebbala Ring Road -> Lakshmi Venkateshwara Temple -> Mahadevapura Ring Road -> Manyata Embassy Business Park -> Marathahalli Bridge -> Multiplex Marathahalli -> Nagaland Circle -> Petrol Bunk Bellanduru -> Tin Factory -> Veeranapalya Ring Road -> Vidyaranyapura Bus Station -> Vidyaranyapura Choudeshwarinagara BS -> Vijaya Bank Colony Banasawadi
V-VRP-CSB,B Channasandra Bridge -> B Narayanapura Ring Road -> BEL Circle -> BEL Hospital -> Babusabpalya -> Bhadrappa Layout -> CS-Eco Space Intel Ring Road -> Canara Bank Vidyaranyapura -> Central Silk Board -> Chamundeshwari Layout Vidyaranyapura -> Devarabisanahalli Cross -> Devarabisanahalli New Horizon College -> Dodda Bommasandra -> Dodda Nekkundi -> EMC2 -> HSR Layout 14th Main -> HSR Layout SI Apartment -> Hebbala Bridge -> Jn of Sarjapura -> Kadabisanahalli -> Kalyananagara -> Karthiknagara -> Lakshmi Venkateshwara Temple -> Mahadevapura Ring Road -> Manyata Embassy Business Park -> Marathahalli Bridge -> Multiplex Marathahalli -> Nagaland Circle -> Petrol Bunk Bellanduru -> Tin Factory -> Veerannapalya Hebbala -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
503-A VRP-KRPGH,B Channasandra Bridge -> BEL Circle -> BEL Hospital -> Babusabpalya -> Bhadrappa Layout -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Dodda Bommasandra -> HRBR Layout 3rd Block -> Hebbala Bridge -> ITI Colony Gate -> Kalyananagara -> Lakshmi Venkateshwara Temple -> Lumbini garden -> Manyata Embassy Business Park -> Nagaland Circle -> Tin Factory -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Bus Station -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
VDS-VRP,BEL Circle -> BEL Hospital -> Basaveshwara Circle Sophiya School -> CPRI -> Canara Bank Vidyaranyapura -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> ITI Layout New BEL Road -> MS Ramaiah Hospital -> Mekhri Circle -> Nagaland Circle -> Palace Ground -> Telephone Exchange AGO -> Vidhana Soudha -> Vidyaranyapura Bus Station
288-E,Attiguppe -> CQAL -> Canara Bank Vidyaranyapura -> Chamarajapet Water Tank -> Chikka Nagamangala -> Cunningham Road -> Deepanjalinagara -> Depot-38 Gate -> Dodda Nagamangala -> Govindarajanagara Vijayanagara -> Hebbala -> Indian Express -> Jayamahal -> KR Market -> Lakshmi Venkateshwara Temple -> Matadahalli -> Munireddy Palya JC Nagara -> Mysore Road Bus Station -> Mysore Road Tollgate -> New Guddadahalli -> Rayan Circle Tippu Sultan Road -> Rehamathnagara -> Shivajinagara Bus Station -> Sirsi Circle -> Tennis Court Thindlu -> Vasanthappa Block -> Vidyaranyapura Bus Station -> Vijayanagara -> Vijayanagara Maruthi Mandira -> Vijayanagara TTMC
TND-MSP,Canara Bank Vidyaranyapura -> Lakshmi Venkateshwara Temple -> Vidyaranyapura
CAPGR-11,CAP Gemini Garudacharpalya -> Hebbala Bridge -> KR Puram Railway Station -> Vidyaranyapura -> Yelahanka Police Station
ITPL-2J,Horamavu -> ITPL -> KR Puram Railway Station -> Kammanahalli -> Vidyaranyapura
MEBP-26,BEL Market -> Gangamma Circle -> Hebbala -> Jalahalli Cross -> Manyata Embassy Business Park -> Mother Dairy Yelahanka -> Vidyaranyapura -> Yelahanka Police Station
CRHS-6,Christal House Learning School -> Kogilu Cross -> Mother Dairy Yelahanka -> Nagaland Circle -> Sapthagiri Layout -> Vidyaranyapura -> Yelahanka Police Station
BMSIT-1,BEL Circle -> Jalahalli Cross -> Nagaland Circle -> Vidyaranyapura -> Yelahanka 4th Phase
276 BMT45-VRP-KBS,BEL Circle -> BEL Hospital -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Central Rajiv Gandhi Circle -> Chamundeshwari Layout Vidyaranyapura -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> Kempegowda Bus Station -> Link Road Central -> MS Ramaiah Hospital -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Nagaland Circle -> Tata Institute -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
276 BMT45-VRP-KMT,Ananda Rao Circle -> BEL Circle -> BEL Hospital -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Corporation -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> KR Circle -> KR Market -> Link Road Central -> MS Ramaiah Hospital -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Nagaland Circle -> Swastik Sheshadripuram College -> Tata Institute -> Town Hall -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
276-E BMT45-VRP-SBS,BEL Circle -> BEL Hospital -> CPRI -> CPRI Quarters -> CSI Hospital -> Canara Bank Vidyaranyapura -> Cantonment Railway Station -> Chamundeshwari Layout Vidyaranyapura -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> Indian Express -> Jayamahal -> Lakshmi Venkateshwara Temple -> MS Ramaiah Hospital -> Mekhri Circle -> Nagaland Circle -> Shivajinagara Bus Station -> TV Tower -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
BMT45-VRPB,Vidyaranyapura
VCS-ORRCA-206 JWSR-ORRCA,Gangamma Circle -> Hebbala -> Jalahalli West Shettyhalli Road -> Mother Dairy Yelahanka -> Prestige Tech Park Kadabisanahalli -> Vidyaranyapura -> Yelahanka Police Station
VCS-ORRCA-109 VRP-ORRCA,AOL Head Strong ORR -> Hebbala Bridge -> Horamavu -> Mahadevapura Ring Road -> Vidyaranyapura -> Vidyaranyapura Choudeshwarinagara BS
D45 To YNRS,BEL Circle -> BEL Hospital -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Divanarapalya Mattikere -> Dodda Bommasandra -> Gokula Mattikere -> Govardhan Talkies -> Lakshmi Venkateshwara Temple -> MS Ramaiah College -> Mattikere -> Nagaland Circle -> RMC Yard -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Yeshwanthapura Ayyappa Temple -> Yeshwanthapura Railway Station -> Yeshwanthpura Tollgate
D45-BSK,B Channasandra Bridge -> B Narayanapura Ring Road -> BEL Circle -> BEL Hospital -> BTM Layout Water Tank -> Babusabpalya -> Banashankari TTMC -> Bhadrappa Layout -> CS-Eco Space Intel Ring Road -> Canara Bank Vidyaranyapura -> Central Silk Board -> Chamundeshwari Layout Vidyaranyapura -> Devarabisanahalli Cross -> Devarabisanahalli New Horizon College -> Dodda Bommasandra -> Dodda Nekkundi -> EMC2 -> HRBR Layout 3rd Block -> HSR Layout 14th Main -> HSR Layout SI Apartment -> Hebbala Bridge -> Jayadeva Hospital -> Jn of Sarjapura -> Kadabisanahalli -> Kalyananagara -> Karthiknagara -> Lakshmi Venkateshwara Temple -> Mahadevapura Ring Road -> Manyata Embassy Business Park -> Marathahalli Bridge -> Multiplex Marathahalli -> Nagaland Circle -> Petrol Bunk Bellanduru -> Ragigudda Temple -> Sangam Circle -> Tin Factory -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Choudeshwarinagara BS -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
401RC VRP-BEML5TH,Attiguppe -> BEL Circle -> BEL Hospital -> BEML Layout Complex -> BEML Layout Double Road -> BEML Layout Kuvempu Circle -> BEML layout 5th stage -> Canara Bank Vidyaranyapura -> Chamundeshwari Layout Vidyaranyapura -> Deepanjalinagara -> Divanarapalya Mattikere -> Dodda Bommasandra -> Gokula Mattikere -> Govt Soap Factory -> Ideal Homes -> Iskcon Temple -> Lakshmi Venkateshwara Temple -> MS Ramaiah College -> Mahalakshmi Layout Entrance -> Manjunatha Nagara WOC Road -> Mattikere -> Nagaland Circle -> Nayandahalli -> Rajajinagara Dhobi Ghat -> Rajajinagara ESI Hospital -> Rajajinagara Industrial Area -> Rajarajeshwari School -> Rajarajeshwari Temple -> Rajarajeshwarinagara Nimishamba Temple -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Vijayanagara -> Vijayanagara TTMC -> Vijayanagara Vijaya Bank -> Yeshwanthpura Tollgate
MB-9 BMT45-ISROL,BEL Circle -> BEL Hospital -> Basavanagudi Police Station -> CPRI Quarters -> Canara Bank Vidyaranyapura -> Central Rajiv Gandhi Circle -> Chamundeshwari Layout Vidyaranyapura -> Corporation -> Dayananda Sagar College -> Devasandra Chikkamaranahalli -> Dodda Bommasandra -> KR Circle -> Kadirenahalli Cross -> Kempegowda Bus Station -> Kumaraswamy Layout -> Lakshmi Venkateshwara Temple -> Lalbagh West Gate -> Link Road Central -> MM Industries -> MS Ramaiah Hospital -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Monotype Corporation -> Nagaland Circle -> Shastri Bakery -> Tata Institute -> Tata Silk Farm -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
VCS-TATA ELEXI-07 DBSA-TELX,Byatarayanapura -> Hebbala -> Mother Dairy Yelahanka -> Vidyaranyapura -> Yelahanka 4th Phase -> Yelahanka Police Station
276-B BMT-45-VPP,Canara Bank Vidyaranyapura -> Lakshmi Venkateshwara Temple -> Nanjappa Circle Vidyaranyapura -> Tennis Court Thindlu -> Thindlu Kodigehalli -> Thindlu Lokeshore Garden -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Virupakshapura Kodigehalli Rd
MBS-6 BMT45-CVRN,BEML Gate -> Bagmane Tech Park -> CBI Mekhri Circle -> CMH Hospital -> CQAL -> CSI Hospital -> CV Raman Nagara -> Canara Bank Vidyaranyapura -> Cantonment Railway Station -> DRDO Quarters -> Esteem Mall Hebbala -> Geetanjali Layout -> Halasuru -> Halasuru Police Station -> Hebbala -> Hebbala Canara Bank -> Hebbala Veterinary Hospital -> Indian Express -> Indiranagara Double Road -> Jayamahal -> Kodigehalli Gate Byatarayanapura -> Kodigehalli Sahakaranagara -> Lakshmi Venkateshwara Temple -> Lido Talkies -> Maniksha Parade Ground -> Manipal Centre MG Road -> Matadahalli -> Nagavarapalya -> Nanjappa Circle Vidyaranyapura -> TV Tower -> Tennis Court Thindlu -> Thindlu Kodigehalli -> Thindlu Lokeshore Garden -> Thippasandra -> Thippasandra Ganesh Temple -> Thippasandra Market -> Vasanthappa Block -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura 3rd Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara -> Virupakshapura Kodigehalli Rd
VCS-BTP-104 BTP-VRP,Vidyaranyapura
V-VRP-BSK,B Channasandra Bridge -> B Narayanapura Ring Road -> BEL Circle -> BEL Hospital -> BTM Layout Water Tank -> Babusabpalya -> Banashankari TTMC -> Bhadrappa Layout -> CS-Eco Space Intel Ring Road -> Canara Bank Vidyaranyapura -> Central Silk Board -> Chamundeshwari Layout Vidyaranyapura -> Devarabisanahalli Cross -> Devarabisanahalli New Horizon College -> Dodda Bommasandra -> Dodda Nekkundi -> EMC2 -> HRBR Layout 3rd Block -> HSR Layout 14th Main -> HSR Layout SI Apartment -> Hebbala Bridge -> Jayadeva Hospital -> Jn of Sarjapura -> Kadabisanahalli -> Kalyananagara -> Karthiknagara -> Lakshmi Venkateshwara Temple -> Mahadevapura Ring Road -> Manyata Embassy Business Park -> Marathahalli Bridge -> Multiplex Marathahalli -> Nagaland Circle -> Petrol Bunk Bellanduru -> Ragigudda Temple -> Sangam Circle -> Tin Factory -> Vidyaranyapura -> Vidyaranyapura 1st Block -> Vidyaranyapura Durga Parameshwari Temple -> Vidyaranyapura Echalamara
401-K YTTMC-VRP-BMT45,BEL Circle -> BEL Hospital -> Canara Bank Vidyaranyapura -> Dodda Bommasandra -> Lakshmi Venkateshwara Temple -> MS Ramaiah College -> Mattikere -> Nagaland Circle -> Vidyaranyapura -> Yeshwanthapura
BEMLA-7,Byatarayanapura -> Kaval Byrasandra -> Kogilu Cross -> Matadahalli -> Mother Dairy Yelahanka -> RT Nagara Police Station -> Rehamathnagara -> Yelahanka 4th Phase -> Yelahanka Police Station
NITT-1A,Mother Dairy Yelahanka -> Yelahanka 4th Phase -> Yelahanka Police Station
ITPL-8A,Byatarayanapura -> Hebbala Bridge -> ITPL -> Mother Dairy Yelahanka -> Yelahanka 4th Phase -> Yelahanka Police Station
MTR-27,HMT Auditorium -> Kanteerava Studio -> Kogilu Cross -> Platinum City Apartment -> Yelahanka 4th Phase
SGH-YHK-HBL-CSB,Avalahalli Rajanukunte -> B Channasandra Bridge -> B Narayanapura Ring Road -> Babusabpalya -> Byatarayanapura -> CRPF Yelahanka -> CS-Eco Space Intel Ring Road -> Central Silk Board -> Devarabisanahalli Cross -> Devarabisanahalli New Horizon College -> Dodda Nekkundi -> EMC2 -> Esteem Mall Hebbala -> GKVK Gate Yelahanka -> HSR Layout 14th Main -> HSR Layout SI Apartment -> Hebbala Bridge -> Jakkur Aerodrum -> Jn of Sarjapura -> Kadabisanahalli -> Kalyananagara -> Karthiknagara -> Kodigehalli Gate Byatarayanapura -> Mahadevapura Ring Road -> Manyata Embassy Business Park -> Marathahalli Bridge -> Multiplex Marathahalli -> Nagavara -> Nagenahalli Gate Yelahanka -> Petrol Bunk Bellanduru -> Puttenahalli -> Singanayakanahalli Rajanukunte -> Tin Factory -> Veerannapalya Hebbala -> Yelahanka NES Office
285-K PTML-NES,Addiganahalli -> Avalahalli Rajanukunte -> CRPF Yelahanka -> Honnenahalli Rajanukunte -> Nagenahalli Gate Yelahanka -> Parvathipura -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> Singanayakanahalli Rajanukunte -> Yelahanka NES Office
297-B PTML-DGH,Addiganahalli -> Avalahalli Rajanukunte -> Bettahalasuru Cross -> Bharathinagara Hunasamaranahalli -> CRPF Yelahanka -> Chikkajala -> Honnenahalli Rajanukunte -> Hunasamaranahalli -> IAF Yelahanka -> ITC Factory Devanhalli Road -> Indian Air Force -> Kadiganahalli Gate Devanahalli Road -> Kendriya Vihara -> Kogilu Cross -> Nagenahalli Gate Yelahanka -> Palanahalli Gate -> Patalamma Temple Sadenahalli -> Puttenahalli -> Rajanukunte -> SMVIT Cross -> Sadahalli Gate -> Singanayakanahalli Rajanukunte -> Thabarahalli -> Venkatala -> Yelahanka NES Office
289-K BMT46-KDYH,Addiganahalli -> Avalahalli Rajanukunte -> Bagalur -> Bagalur Colony -> Bagalur Cross DVH Road -> Bande Kodigehalli -> Basavanna Temple Hoovinayakanahalli -> CRPF Yelahanka -> Dwarakanagara Kogilu -> Honnenahalli Rajanukunte -> Hunasuru -> Kadayarappanahalli -> Kendriya Vihara -> Kogilu Cross -> Nagenahalli Gate Yelahanka -> Navodaya School Bagalur -> Palanahalli Gate -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> Sathanur -> Singanayakanahalli Rajanukunte -> Srinivasapura Cross -> Venkatala -> Yelahanka Country Club -> Yelahanka NES Office -> Yelahanka Santhe Circle
283-D PTML-KDGC,Addiganahalli -> Avalahalli Rajanukunte -> Bettahalasuru Cross -> Bettahalasuru Village -> Bharathinagara Hunasamaranahalli -> CRPF Yelahanka -> Honnenahalli Rajanukunte -> Hunasamaranahalli -> IAF Yelahanka -> Indian Air Force -> Kogilu Cross -> Kuduregere Bettahalasuru -> Kuduregere Cross Tarahunise -> Nagenahalli Gate Yelahanka -> Palanahalli Gate -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> SMVIT Cross -> Singanayakanahalli Rajanukunte -> Sonnappanahalli Yelahanka -> Venkatala -> Yelahanka NES Office -> Yelahanka Santhe Circle
283E PTML-THS,Addiganahalli -> Avalahalli Rajanukunte -> Bettahalasuru Cross -> Bettahalasuru Village -> Bharathinagara Hunasamaranahalli -> CRPF Yelahanka -> Embassy School -> Gurukula School Tharahunase -> Honnenahalli Rajanukunte -> Hunasamaranahalli -> IAF Yelahanka -> Indian Air Force -> Kendriya Vihara -> Kogilu Cross -> Nagenahalli Gate Yelahanka -> Narayanapura Bettahalasuru -> Palanahalli Gate -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> SMVIT Cross -> Singanayakanahalli Rajanukunte -> Sonnappanahalli Yelahanka -> Tharahunase -> Venkatala -> Yelahanka NES Office -> Yelahanka Santhe Circle
285MA PTML-CVB,Addiganahalli -> Avalahalli Rajanukunte -> Basaveshwara Circle Sophiya School -> Byatarayanapura -> CRPF Yelahanka -> Esteem Mall Hebbala -> GKVK Gate Yelahanka -> Hebbala -> Hebbala Canara Bank -> Hebbala Veterinary Hospital -> Honnenahalli Rajanukunte -> Jakkur Aerodrum -> Kodigehalli Gate Byatarayanapura -> Maharanis College -> Mekhri Circle -> Nagenahalli Gate Yelahanka -> Palace Ground -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> Rajmahal Guttahalli -> Singanayakanahalli Rajanukunte -> Telephone Exchange AGO -> Yelahanka NES Office
285M PTMTL-JLO,Addiganahalli -> Avalahalli Rajanukunte -> CRPF Yelahanka -> Honnenahalli Rajanukunte -> Judicial Layout Yelahanka -> Nagenahalli Gate Yelahanka -> Patalamma Temple Sadenahalli -> Puttenahalli -> RJNK -> Rajanukunte -> Singanayakanahalli Rajanukunte
CS-BSWFO-BMSIT,BMS College Campus Yelahanka -> Banasawadi Fire Station
