Route,Stops (via)
245-A,Agrahara Dasarahalli -> Anjananagara -> Bayandahalli -> Bayandahalli Colony -> Bettahalli Vaddarahalli -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Byregowdanahalli -> Chikka Gollarahatti -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Herohalli Cross -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Janapriya Township -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kittanahalli -> Kottigepalya -> Lakkenahalli Sondekoppa -> Machohalli Gate -> Magadi Road Hunasemara -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Mutturayanaswamy Temple Kadabagere Cross -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte
242-TC,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Byregowdanahalli -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Herohalli Cross -> Honaganahatti -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkenahalli Sondekoppa -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-TB D35G-KVH,B Narayanapura -> BPL -> BPL ITPL -> Bayyappanahalli Metro Station -> Benniganahalli -> Big Bazar ITPL -> Brook Steel ESI ITPL -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chowdeshwarinagara Tavarekere -> Corporation -> Depot-35 -> GR Tech Park ITPL -> Gandhipura White Field -> Garudacharpalya -> Gayathrinagara Cross Sondekoppa -> Gurudwara -> Hagaduru -> Halasuru -> Hamsa Farm -> Honaganahatti -> Hoodi -> Hope Farm -> ITPL -> Immadihalli -> Isolation Hospital -> Jettipalya Tavarekere -> KR Circle -> Kempegowda Bus Station -> Lakkuppe -> Mahadevapura ITPL -> Maharanis College -> Mallasandra Sondekoppa -> Mayohall -> Metipalya Tavarekere -> Munish Singh Hospital -> NGEF -> Nagondanahalli -> Pattandur Agrahara Gate -> Philips Millenium Halsooru -> Rajapalya -> Richmond Circle -> Sai Baba General Hospital -> Seegehalli Gate -> Singaiahnapalya Phoenix Mall -> Sondekoppa -> St Joseph Boys High School -> Tavarekere -> Tavarekere BWSSB -> Tin Factory -> Trinity Circle -> Varthuru Tavarekere -> White Field Post Office
374-M,Basavanagara Kengeri -> Basavanapalya Punagamaranahalli -> Byregowdanahalli -> Chikkaveeraiahna Palya -> Chowdeshwarinagara Tavarekere -> Depot-12 Gate -> Dodda Aladamara -> Ganapathihalli -> Gangenahalli Cross Tavarekere Nelamangala Road -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> Kengeri TTMC -> Kethohalli -> Lakkenahalli Sondekoppa -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Punagumaranahalli -> Puttaiahnapalya Tavarekere -> Sondekoppa -> Subbarayappanapalya Cross -> Tavarekere -> Tavarekere BWSSB -> Tavarekere Dodda Aladamara Cross -> Tavarekere Estate -> Varthuru Tavarekere
242-TC KMT-SNDKP,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gangenahalli Cross Tavarekere Nelamangala Road -> Gayathrinagara Cross Sondekoppa -> Gollarahatti -> Herohalli Cross -> Honaganahatti -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
D35G-SKP,Channadasipalya -> Channenahalli -> Chowdeshwarinagara Tavarekere -> Gayathrinagara Cross Sondekoppa -> Honaganahatti -> Jettipalya Tavarekere -> Lakkuppe -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Seegehalli Gate -> Sondekoppa -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
D35G-TVK-NML,Byregowdanahalli -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chowdeshwarinagara Tavarekere -> Gangenahalli Cross Tavarekere Nelamangala Road -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Hamsa Farm -> Honaganahatti -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> Lakkenahalli Sondekoppa -> Lakkuppe -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Seegehalli Gate -> Sondekoppa -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
374-N,Byregowdanahalli -> Hullegowdanahalli Cross -> Sondekoppa -> Tavarekere
377-A,Allammanapalya -> Bande Inorpalya -> Byregowdanahalli -> Chandrappa Circle -> Chikkanahalli -> Hullegowdanahalli Cross -> Huluvenahalli Gate -> Hunnigere Dodda Aladamara -> Jodi Aladamara Puradapalya -> Kempadyapanahalli -> Madapatna -> Madapatna Cross -> Peddanapalya Cross -> Puradapalya -> S Gollahalli -> Sondekoppa -> Tavarekere
377-B,Basavanagara Kengeri -> Beedi Karmikara Colony Gate -> Byregowdanahalli -> Chinnakurchi -> Depot-12 Gate -> Eradu Kamba -> Gonipura -> Gulaganjahalli -> Halubhavi Palya Gulaganjanahalli -> Hullegowdanahalli Cross -> Jn of Kommaghatta Kengeri -> Kengeri Club -> Kengeri Ganesha Temple -> Kengeri Robin Theatre -> Kengeri TTMC -> Kommaghatta -> Krishnasagara Maragondanahalli -> Kumbalagodu -> Maragondanahalli Dodda Aladamara -> Nalku Kamba -> Ranga Jangama -> Sondekoppa -> Sulikere Banglow -> Tavarekere -> Thittahalli
